nome,latitude,longitude,descricao,telefone
AQUA PESCA,-23.225380920607794,-46.47271317622159,"Av. Cap. João, 132 - C/D - Matriz, Mauá - SP, 09360-120",(11) 4555-7688
Pesca Carioca,-22.804812066327443,-43.41745402146097,"Av. Carmela Dutra, 2074 - Centro, Nilópolis - RJ, 26530-020",(21) 98229-3784
Papasiri Pesca e Aventura,-26.995544038993565,-48.641004561806355,"R. 990, 61 - Sala 01 - Centro, Balneário Camboriú - SC, 88330-572",(47) 99922-5266
Tenda Do Pescador,-29.881097034311072,-51.087190346358604,"R. Camboriú, 2180 - Jardim Betânia, Cachoeirinha - RS, 94970-800",(51) 98475-8251
AgroLino,-28.825513977876515,-49.229379431057566,"Av. Leoberto Leal, 1041 - Centro, Balneário Rincão - SC, 88836-000",(48) 3469-1761
Larrosa - Pet Shop,-24.029231199357568,-46.53332866785194,"Av. Pres. Kennedy, 13018 - Vila Caiçara, Praia Grande - SP, 11707-000",(13) 97404-8787
Popeye Pesca,-22.93746963269009,-43.0694844177627,"Av. Dr. Francelino Barcellos, 250 - Piratininga, Niterói - RJ, 24350-057",(21) 97968-9293
Voigt Pesca & Cia Blumenau,-26.804250856014317, -49.08975277530709,"Rua Dr. Pedro Zimmermann, 7950 - Itoupava Central, Blumenau - SC, 89069-000",(47) 9697-0428
Vicente Artigos para Pesca,-20.34822255425118,-40.3822599485191,"Av. Domingos Martins - Rosa da Penha, Cariacica - ES, 29143-490",(27) 997354445
Netto Baits Iscas Artificiais,-29.319085539118408,-49.7263451193919,"R. XV de Novembro, 134 - Progresso, Passo de Torres - SC, 88980-000",(51) 99344-7461
Tata Fishing,-26.270473380459983,-48.819792173478355,"R. Iririú, 2797 - Iririú, Joinville - SC, 89227-017",(47) 99605-9258
Sport Pesca,-20.33723215906772,-40.29306495651098,"Av. Luciano das Neves, 947 - loja 01 - Centro de Vila Velha, Vila Velha - ES, 29100-200",(27) 33299379
Katarina Pesca-Xangrila,-29.771522285852523,-50.04849960403341,"Av. Central, 2758 - Atlântida, Xangri-lá - RS, 95588-000",(51) 996512673
Biterão Artigos Para Pesca,-21.33913310121538,-47.74701814849174,"R. Domingos Carlone, n°198 - João Berbel, Cravinhos - SP, 14140-000",(16) 99268-2041
ROTA FISHING - HORTOLANDIA/SP,-22.888108522364277,-47.232427975434675,"R. Euclídes da Cunha, 178 - Jardim Amanda I, Hortolândia - SP, 13188-002",(19) 99842-3097
Ricardinho Pesca,-23.71251663309782,-46.855475017738804,"Av. Eduardo Roberto Daher, 669 - Centro, Itapecerica da Serra - SP, 06850-040",(11) 91058-1009
Itamar Pesca,-26.90855677011387,-48.69387123297425,"Rua Luíz Lopes Gonzaga, 1385 - São Vicente, Itajaí - SC, 88309-421",(47) 99205-9928
Márcio Caça e Pesca,-22.18295935915301,-47.38740977545568,"R. Antônio Mourão, 400 - Centro, Leme - SP, 13610-090",(19) 99366-0003
Passe & Pesque,-20.17191479088075,-40.249433617841554,"Av. Região Sudeste, 414 - Barcelona, Serra - ES, 29166-200",(27) 99809-9560
Artefish Store,-23.48847698370949,-45.098993347375696,"Av. Marginal, 1828 - Pereque-Mirim, Ubatuba - SP, 11686-754",(12) 997905992
CDF ARTIGOS DE PESCA E CAMPING.,-3.8183192660521765,-38.59424917577459,"Rua Professor Cabral, 606 - Parque Santa Rosa, Fortaleza - CE, 60762-775",(85) 99154-6680
Kixpesca,-3.7303034145429113,-38.525163235639695,"Rua Visconde Do Rio Branco, Nº 219",(54) 34624794
MP Fishing,-29.681220100377146, -51.136599217530986,"R. Cristóvão Colombo, 228 - Vila Rosa, Novo Hamburgo - RS, 93315-082",(51) 3036-2333
Real Lazer Pesca,-22.908821322952758,-42.804846661940026,"R. Uirapurús, 10 - Flamengo, Maricá - RJ, 24903-640",(21)37315867
Tsunami Fishing,-23.586787083910448,-46.601495661919245,"R. Silva Bueno, 967 - Ipiranga, São Paulo - SP, 04208-050",(11)91240-1003
Agropesca,-25.439377106384352,-49.156632348365356,"Rod. Dep. João Leopoldo Jacomel, 9166 - Maria Antonieta, Pinhais - PR",(41) 996773918
Heitor Pesca,-2.751595220092822,-42.82886913749059,"Rua Professor Viana, 146 - Centro Barreirinhas",(98)99251-3565
Nova Boa Sorte artigos de pesca,-23.968432319794083,-46.38661571773082,"R. Martim Afonso, 82 - Centro, São Vicente - SP, 11310-010",(13) 98185-6723
Ilha Fishing,-27.702964493661675,-48.51896235993403,"Rua Paineira do Ribeirão, 46 - Ribeirão da Ilha, Florianópolis - Santa Catarina 88064072",(48)984150997
Master Pesca,-26.357670471190804,-48.83182325124039,"AV PAULO SCHROEDER 1365. BOEHMERWALD, JOINVILLE - SC | CEP 89235-060",(47) 3463-9991
Loja Pescador Criativo,0.017748347853868574,-51.06323847393747,"R. Leopoldo Machado, 1482 - Beirol, Macapá - AP, 68900-067",(96) 99183-2588
A Z ARTS DE CAMPING E PESCA LTDA,-29.23575004554294,-51.52462129509478,"Av. Rio Branco, 444 - Centro, Garibaldi - RS, 95720-000",(54) 99619 8068
Magia da pesca.,-27.450681617831926,-48.40482697528426,"Rod. João Gualberto Soares, 1270 - Ingleses do Rio Vermelho, Florianópolis - SC, 88058-300",(48) 99203-6688
São Bento Pesca & Cia,-23.97058972241857,-46.30314277540138,"R. Sen. Lacerda Franco, 127 - Aparecida, Santos - SP, 11025-180",(18) 99644-5922
AHI FISHING,-20.311109823242322,-40.2907092926967,"Condomínio do Edificio London Office Tower - R. José Alexandre Buaiz, 160 - Sala 914 - Enseada do Suá, Vitória - ES, 29050-545",(27) 3024-6464
⁠Villa da Pesca,-17.879653512510927,-51.72146269091115,"Av. Joaquim Cândido, 506 - St. Central - Parte Baixa, Jataí - GO, 75800-053",(64) 999982019
Pescamp e Rações Parnaíba,-23.44405339056092,-46.91515446192368,"R. Quinze de Novembro, 26 - Centro, Santana de Parnaíba - SP, 06501-145",11) 94284-3223
Pescaki Artigos De Agro E Pesca,-23.19913263686792,-46.87290199076649,"Av. São Paulo, 209 - Vila Arens II, Jundiaí - SP, 13202-610",(11) 94203-6868
Loja Mero Caça E Pesca,-23.854431869109373,-46.13922946191092,"Av. Anchieta, 100 - Loja 3 - Centro, Bertioga - SP, 11250-039",(13) 99674-8106
koji Pesca,-23.538632458579862,-46.778025551240425,"R. Paulo Lício Rizzo, 183 - Lj28 Q81 - Centro, Osasco - SP, 06018-010",(11) 91008-9933
Loja Arte Pesca,"-2.976.258.068.261.690,00","-5.002.476.596.443.520,00","RS407, 897 - SANTA LUZIA, Capão da Canoa - RS, 94691-044",(51) 3665-3523
AVICULTURA BOM PASTOR,-24.239979134776487,-46.89483204655737,"Av. Flácides Ferreira, 668 - Gaivotas, Itanhaém - SP, 11740-000",(13) 3429-1428
Ilha Fishing,-27.702992990612422,-48.519016004110554,"R. Paineira do Ribeirão, 46 - Alto Ribeirão Leste, Florianópolis - SC, 88064-072",(48)984150997
Namazu Pesca Esportiva,-23.552166128052797,-46.53424469075551,"Rua Juca Mendes, 206 - Vila Carrão, São Paulo - SP, 03428-020",(11) 2227-1455
Cant Pesca,-28.951166242542087,-49.484153017558796,"R. Gov. Jorge Lacerda, 1599 - Urussanguinha, Araranguá - SC, 88905-360",(48) 3524-6136
Caçulina Pesca,-24.748157495875272,-47.55171686188239,"R. São Judas Tadeu, 68 - Balneário Britânia, Ilha Comprida - SP, 11925-000",(13) 3842-3257
DEMA PESCA,-28.47284400259548,-49.03247073291784,"R. São João, 1304 - São João Margem Esquerda, Tubarão - SC, 88708-000",(48) 3628-0105
PESCAX,-26.203694488665,-48.91317960416325,"Rua: Olavo Bilac, 901 - Pirabeiraba, Joinville - SC, 89239-100",(47) 98415-3902
Pesca Weekend,-19.824918537846994,-40.2791726620271,"Rod. Luiz Theodoro Musso, 135 - Jequitibá, Aracruz - ES, 29193-048",(27) 99704-2386
RASSI ARTIGOS DE PESCA,-21.178478434368294,-47.78099187548446,"R. José Aissum, 191 - Parque dos Bandeirantes, Ribeirão Preto - SP, 14090-370",(16) 99227-5756
Eagle Fast Fishing,-22.81876482043243,-47.250523348448596,"Av. da Amizade, 1420 - bloco 1, Sala 312 - Vila Carlota, Sumaré - SP, 13175-490",(19) 2214-2882
